filename,text_chunk,author
CID.pdf,le cid tragédie corneille pierre,Corneille
CID.pdf,publié par ernest et paul fièvre janvier,Corneille
CID.pdf,le cid tragédie pierre corneille m dc lxxxii,Corneille
CID.pdf,examen ce poème a tant davantages du côté du sujet et des pensées brillantes dont il est semé que,Corneille
CID.pdf,la plupart de ses auditeurs nont pas voulu voir les défauts de sa conduite et ont laissé enlever,Corneille
CID.pdf,leurs suffrages au plaisir que leur a donné sa représentation bien que ce soit celui de tous mes,Corneille
CID.pdf,ouvrages réguliers où je me suis permis le plus de licence il passe encore pour le plus beau auprès,Corneille
CID.pdf,de ceux qui ne sattachent pas à la dernière sévérité des règles et depuis cinquante ans quil tient,Corneille
CID.pdf,sa place sur nos théâtres lhistoire ni leffort de limagination ny ont rien fait voir qui en ait,Corneille
CID.pdf,effacé léclat aussi atil les deux grandes conditions que demande aristote aux tragédies parfaites,Corneille
CID.pdf,et dont lassemblage se rencontre si rarement chez les anciens ni chez les modernes il les assemble,Corneille
CID.pdf,même plus fortement et plus noblement que les espèces que pose ce philosophe une maîtresse que son,Corneille
CID.pdf,devoir force à poursuivre la mort de son amant quelle tremble dobtenir a les passions plus vives et,Corneille
CID.pdf,plus allumées que tout ce qui peut se passer entre un mari et sa femme une mère et son fils un,Corneille
CID.pdf,frère et sa soeur et la haute vertu dans un naturel sensible à ses passions quelle dompte sans les,Corneille
CID.pdf,affaiblir et à qui elle laisse toute leur force pour en triompher plus glorieusement a quelque,Corneille
CID.pdf,chose de plus touchant de plus élevé et de plus aimable que cette médiocre bonté capable dune,Corneille
CID.pdf,faiblesse et même dun crime où nos anciens étaient contraints darrêter le caractère le plus parfait,Corneille
CID.pdf,des rois et des princes dont ils faisaient leurs héros afin que ces taches et ces forfaits,Corneille
CID.pdf,défigurant ce quils leur laissaient de vertu saccommodassent au goût et aux souhaits de leurs,Corneille
CID.pdf,spectateurs et fortifiassent lhorreur quils avaient conçue de leur domination et de la monarchie,Corneille
CID.pdf,rodrigue suit ici son devoir sans rien relâcher de sa passion chimène fait la même chose à son tour,Corneille
CID.pdf,sans laisser ébranler son dessein par la douleur où elle se voit abîmée par là et si la présence de,Corneille
CID.pdf,son amant lui fait faire quelque faux pas cest une glissade dont elle se relève à lheure même et,Corneille
CID.pdf,non seulement elle connaît si bien sa faute quelle nous en avertit mais elle fait un prompt désaveu,Corneille
CID.pdf,de tout ce quune vue si chère lui a pu arracher il nest point besoin quon lui reproche quil lui est,Corneille
CID.pdf,honteux de souffrir lentretien de son amant après quil a tué son père elle avoue que cest la seule,Corneille
CID.pdf,prise que la médisance aura sur elle si elle semporte jusquà lui dire quelle veut bien quon sache,Corneille
CID.pdf,quelle ladore et le poursuit ce nest point une résolution si ferme quelle lempêche de cacher son,Corneille
CID.pdf,amour de tout son possible lorsquelle est en la présence du roi sil lui échappe de lencourager au,Corneille
CID.pdf,combat contre don sanche par ces paroles sors vainqueur dun combat dont chimène est le prix elle ne,Corneille
CID.pdf,se contente pas de senfuir de honte au même moment mais sitôt quelle est avec elvire à qui elle ne,Corneille
CID.pdf,déguise rien de ce qui se passe dans son âme et que la vue de ce cher objet ne lui fait plus de,Corneille
CID.pdf,violence elle forme un souhait plus raisonnable qui satisfait sa vertu,Corneille
CID.pdf,et son amour tout ensemble et demande au ciel que le combat se termine sans faire aucun des deux ni,Corneille
