filename,text_chunk,author
ANDROMAQUE.pdf,andromaque tragédie racine jean publié par gwénola ernest et paul fièvre septembre,Racine
ANDROMAQUE.pdf,andromaque tragédie à paris chez pierre trabouillet dans la galerie des prisonniers à limage,Racine
ANDROMAQUE.pdf,sainthubert m dc xcvii avec privilège du roi,Racine
ANDROMAQUE.pdf,à madame madame ce nest pas sans sujet que je mets votre illustre nom à la tête de cet ouvrage et,Racine
ANDROMAQUE.pdf,de quel autre nom pourraisje éblouir les yeux de mes lecteurs que de celui dont mes spectateurs ont,Racine
ANDROMAQUE.pdf,été si heureusement éblouis on savait que votre altesse royale avait daigné prendre soin de la,Racine
ANDROMAQUE.pdf,conduite de ma tragédie on savait que vous maviez prêté quelquesunes de vos lumières pour y ajouter,Racine
ANDROMAQUE.pdf,de nouveaux ornements on savait enfin que vous laviez honorée de quelques larmes dès la première,Racine
ANDROMAQUE.pdf,lecture que je vous en fis pardonnezmoi madame si jose me vanter de cet heureux commencement de sa,Racine
ANDROMAQUE.pdf,destinée il me console bien glorieusement de la dureté de ceux qui ne voudraient pas sen laisser,Racine
ANDROMAQUE.pdf,toucher je leur permets de condamner landromaque tant quils voudront pourvu quil me soit permis,Racine
ANDROMAQUE.pdf,dappeler de toutes les subtilités de leur esprit au coeur de votre altesse royale mais madame ce,Racine
ANDROMAQUE.pdf,nest pas seulement du coeur que vous jugez de la bonté dun ouvrage cest avec une intelligence,Racine
ANDROMAQUE.pdf,quaucune fausse lueur ne saurait tromper pouvonsnous mettre sur la scène une histoire que vous ne,Racine
ANDROMAQUE.pdf,possédiez aussi bien que nous pouvonsnous faire jouer une intrigue dont vous ne pénétriez tous les,Racine
ANDROMAQUE.pdf,ressorts et pouvonsnous concevoir des sentiments si nobles et si délicats qui ne soient infiniment,Racine
ANDROMAQUE.pdf,audessous de la noblesse et de la délicatesse de vos pensées on sait madame et votre altesse royale,Racine
ANDROMAQUE.pdf,a beau sen cacher que dans ce haut degré de gloire où la nature et la fortune ont pris plaisir de,Racine
ANDROMAQUE.pdf,vous élever vous ne dédaignez pas cette gloire obscure que les gens de lettres sétaient réservée et,Racine
ANDROMAQUE.pdf,il semble que vous ayez voulu avoir autant davantage sur notre sexe par les connaissances et par la,Racine
ANDROMAQUE.pdf,solidité de votre esprit que vous excellez dans le vôtre par toutes les grâces qui vous environnent,Racine
ANDROMAQUE.pdf,la cour vous regarde comme larbitre de tout ce qui se fait dagréable et nous qui travaillons pour,Racine
ANDROMAQUE.pdf,plaire au public nous navons plus que faire de demander aux savants si nous travaillons selon les,Racine
ANDROMAQUE.pdf,règles la règle souveraine est de plaire à votre altesse royale voilà sans doute la moindre de vos,Racine
ANDROMAQUE.pdf,excellentes qualités mais madame cest la seule dont jai pu parler avec quelque connaissance les,Racine
ANDROMAQUE.pdf,autres sont trop élevées audessus de moi je nen puis parler sans les rabaisser par la faiblesse de,Racine
ANDROMAQUE.pdf,mes pensées et sans sortir de la profonde vénération avec laquelle je suis madame de votre altesse,Racine
ANDROMAQUE.pdf,royale le très humble très obéissant et très fidèle serviteur,Racine
ANDROMAQUE.pdf,première préface édition et virgile au troisième livre de lenéide cest enée qui parle littoraque,Racine
ANDROMAQUE.pdf,epiri legimus portuque subimus chaonio et celsam buthroti ascendimus urbem solemnes tum forte dapes,Racine
ANDROMAQUE.pdf,et tristia dona libabat cineri andromache manesque vocabat hectoreum ad tumulum viridi quem cespite,Racine
