filename,text_chunk,author
MITHRIDATE.pdf,de pompée elle trahit mon père et rendit aux romains la place et les trésors confiés en ses mains,Racine
MORTPOMPEE.pdf,coeur que rome eût pardonné la victoire au vainqueur mais puisque par sa perte à jamais sans,Corneille
MORTPOMPEE.pdf,diligence à ses feux est égale ou plutôt si la mer ne soppose à ses feux légypte le va voir me,Corneille
PHEDRE.pdf,poète quils détestaient cependant cette supposition est purement gratuite quoi quil en soit en,Racine
PLACEROYALE.pdf,garantir dune déloyauté doraste tient ta foi mais si ta perfidie à jusquà te quitter son âme,Corneille
MITHRIDATE.pdf,juge plus sévère et nous lavons vu même à ses cruels soupçons sacrifier deux fils pour de moindres,Racine
ANDROMAQUE.pdf,vainqueur digne de tant de haine déjà contre les grecs plein dun noble courroux le soin de votre,Racine
MORTPOMPEE.pdf,cette nouvelle vous continuezlui ce service fidèle,Corneille
BERENICE.pdf,seigneur antiochus si mon retour tapporte quelque joie arsace rendsen grâce à mon seul désespoir,Racine
ANDROMAQUE.pdf,forçant de rompre un noeud si solennel aux yeux de tous les grecs rendonsle criminel jai déjà sur,Racine
PHEDRE.pdf,dune si belle vie osent noircir le cours avezvous de son coeur si peu de connaissance discernezvous,Racine
RODOGUNE.pdf,ils ont même sang avec pareil mérite un avantage égal pour eux me sollicite mais il est malaisé,Corneille
ANDROMAQUE.pdf,madame et puisquon vous adore hermione ah laisse à ma fureur le temps de croître encore contre mon,Racine
MORTPOMPEE.pdf,bien due ils vous ont offensée mais ma gloire en leur perte est trop intéressée si césar les punit,Corneille
PHEDRE.pdf,apprentissage en province notamment à strasbourg et à compiègne elle débuta à la comédie française,Racine
MITHRIDATE.pdf,cest par de tels sacrifices quil faut à ma fureur rendre les dieux propices je le dois je le puis,Racine
HORACE.pdf,règles infaillibles de ce quil faut suivre et de ce quil faut éviter cest là que jai souvent appris,Corneille
BAJAZET.pdf,de saintcyr jouées par les pensionnaires devant louis xiv les sujets des tragédies sont tirés de la,Racine
ANDROMAQUE.pdf,achille et tout ce que jai fait je ne condamne plus un courroux légitime et lon vous va seigneur,Racine
PHEDRE.pdf,et den faire léloge elle les trouve admirables ne et manque pas den prendre une copie pour les,Racine
CID.pdf,à mourir par ta main quà vivre avec ta haine chimène va je ne te hais point don rodrigue tu le dois,Corneille
PHEDRE.pdf,retraite pour en développer lembarras incertain,Racine
PHEDRE.pdf,la frayeur les emporte et sourds à cette fois ils ne connaissent plus ni le frein ni la voix en,Racine
PLACEROYALE.pdf,pensée ou si vous men peignez encore quelques traits laissez là ses vertus peignezmoi ses forfaits,Corneille
RODOGUNE.pdf,craignit quil ne la voulut venger soit que limpétuosité de la même fureur la portât à ce nouveau,Corneille
PLAIDEURS.pdf,lit le souffleur dans la petit jean dans la le souffleur métamorphose petit jean comment le,Racine
RODOGUNE.pdf,tout lieu de me surprendre heureux si sa fureur qui me prive de toi se fait bientôt connaître en,Corneille
PLACEROYALE.pdf,sait ce qui les touche mais voici linfidèle ah quil se contraint bien scène ii alidor angélique,Corneille
CID.pdf,mest fatal je le crains et souhaite je nose en espérer quune joie imparfaite ma gloire et mon amour,Corneille
CINNA.pdf,de si hauts projets après avoir en vain puni leur insolence essayez sur cinna ce que peut la,Corneille
HORACE.pdf,époux seul vous reste le vieil horace ô dun triste combat effet vraiment funeste rome est sujette,Corneille
PLAIDEURS.pdf,donc ce mystère léandre ce que vous avez dit se fait de point en point,Racine
PHEDRE.pdf,neptune et dans sa chaleur à défendre linnocence dhippolyte manque de se trahir ellemême la,Racine
ATHALIE.pdf,sest pour lui déclaré,Racine
RODOGUNE.pdf,mais enfin nespérez voir en moi quamitié pour mon frère et zèle pour mon roi adieu scène vii,Corneille
CID.pdf,fait nos débats sire jen suis la tête il nen est que le bras si chimène se plaint quil a tué son,Corneille
PLACEROYALE.pdf,dire et ce quil faut cacher polymas feignez davoir reçu ce billet de clarine et que angélique ne,Corneille
BAJAZET.pdf,tes vœux les inutiles fruits ne te souvientil plus de tout ce que je suis maîtresse du sérail,Racine
CID.pdf,perdrai pour un si digne objet je ferai seulement le devoir dun sujet don fernand tous ceux que ce,Corneille
BAJAZET.pdf,scène iv bajazet roxane roxane je ne vous ferai point des reproches frivoles les moments sont trop,Racine
PLACEROYALE.pdf,la raison où votre avis se fonde adieu belle angélique adieu cest justement que votre ravisseur,Corneille
PHEDRE.pdf,quun discours hélas trop véritable un jour ne leur reproche une mère coupable je tremble quopprimés,Racine
IPHIGENIE.pdf,quil y avait même trouvé une princesse qui sétait éprise damour pour lui voilà les principales,Racine
POLYEUCTE.pdf,bien étouffer les restes de sa flamme dieux que jéviterais de rigoureux tourments ma raison il est,Corneille
MORTPOMPEE.pdf,septime qui se voit dérober la moitié de son crime afin de lachever prend six vaisseaux au port et,Corneille
PLACEROYALE.pdf,mes maux phylis que veuxtu que je fasse ris des miens si jamais tu me vois en ta place que,Corneille
MITHRIDATE.pdf,romain et la triste italie encor toute fumante des feux qua rallumés sa liberté mourante non,Racine
IPHIGENIE.pdf,funeste mystère laissezmoi de lautel écarter une mère,Racine
BRITANNICUS.pdf,touche et ne me cache point pour lui fermer la bouche néron je vous entends hé bien gardes junie,Racine
BERENICE.pdf,je faisais attendre quels pleurs aije séchés dans quels yeux satisfaits aije déjà goûté le fruit de,Racine
BERENICE.pdf,vous deviennent considérables pour peu quelles puissent servir ou à sa gloire ou à son plaisir et,Racine
POLYEUCTE.pdf,protecteur ait pour lui dans lesprit je suivrai hautement lordre qui mest prescrit albin grâce,Corneille
PLACEROYALE.pdf,vient de son amant suivie scène vii alidor angélique doraste etc alidor finissez vos mépris ou,Corneille
POLYEUCTE.pdf,que vous me souhaitiez et que je vous souhaite sil vous en reste encore nêtesvous point jaloux quà,Corneille
CINNA.pdf,tarquins même ensanglanta nos terres et nos premiers consuls nous ont coûté des guerres maxime donc,Corneille
BRITANNICUS.pdf,morte pour lui vous savez de ces lieux comme elle sest ravie elle a feint de passer chez la triste,Racine
RODOGUNE.pdf,aussi des services du père et laissez un exemple à la postérité et de rigueur entière et dentière,Corneille
BRITANNICUS.pdf,jétais de ce grand corps lâme toute puissante des volontés de rome alors mal assuré néron de sa,Racine
BRITANNICUS.pdf,chez octavie britannicus allez belle junie et dun esprit content hâtezvous dembrasser ma soeur qui,Racine
PHEDRE.pdf,yeux les charmes que jévite tout vous livre à lenvi le rebelle hippolyte moimême pour tout fruit de,Racine
MORTPOMPEE.pdf,encore plus je jure par vousmême car vous pouvez bien plus sur ce coeur affligé que le respect des,Corneille
BAJAZET.pdf,ta rivale il prend soin de sa vie ah traître tu mourras quoi tu nes point partie va mais nousmême,Racine
RODOGUNE.pdf,des liens sacrés et des noeuds immortels scène iv laonice timagène laonice peuton plus dignement,Corneille
BRITANNICUS.pdf,quaccomplir à regret ce que toute la cour demandait en secret le reste est un malheur qui nest,Racine
PHEDRE.pdf,perdu lâme de sa maîtresse et qui par dinsupportables flatteries ose du crime lui aplanir le chemin,Racine
CID.pdf,déguisestu rien de ce qua dit mon père elvire tous mes sens à moimême en sont encor charmés il,Corneille
MITHRIDATE.pdf,la surprendre vide de légions qui la puissent défendre tandis que tout soccupe à me persécuter,Racine
PHEDRE.pdf,la vertu le crime a ses degrés et jamais on na vu la timide innocence passer subitement à lextrême,Racine
CINNA.pdf,crime relève pour labattre un trône illégitime et dun zèle effronté couvrant son attentat soppose,Corneille
BRITANNICUS.pdf,encore cachés cujus abditis adhuc vitiis mire congruebat ce passage prouve deux choses il prouve et,Racine
PLAIDEURS.pdf,frappe lintimé ami cest la voix disabelle isabelle demandezvous quelquun monsieur lintimé,Racine
BERENICE.pdf,reine bérénice paulin la reine en ce moment sensible à vos bontés charge le ciel de voeux pour vos,Racine
